env_steps,tournament,best_this_tournament,best_so_far
2000,1,99.99065830736579,99.99065830736579
4000,2,-549.2613852750678,99.99065830736579
6000,3,-662.7919837182585,99.99065830736579
8000,4,-165.88611761176034,99.99065830736579
10000,5,60.49181298859155,99.99065830736579
12000,6,-676.4184840600534,99.99065830736579
14000,7,-555.3764297943998,99.99065830736579
16000,8,-24.66807923091607,99.99065830736579
18000,9,-369.5761142579167,99.99065830736579
20000,10,-275.1531374961331,99.99065830736579
22000,11,-515.3057520741494,99.99065830736579
24000,12,-382.7618666132297,99.99065830736579
26000,13,-99.34365080394466,99.99065830736579
28000,14,610.0220933337321,610.0220933337321
30000,15,-293.81746057569603,610.0220933337321
32000,16,-681.5716663946523,610.0220933337321
34000,17,-458.16675448042196,610.0220933337321
36000,18,39.50494034818554,610.0220933337321
38000,19,236.0151470516506,610.0220933337321
40000,20,-422.32455805747765,610.0220933337321
42000,21,-736.9294060475125,610.0220933337321
44000,22,101.74570975624675,610.0220933337321
46000,23,-801.4719646119227,610.0220933337321
48000,24,-608.5650382501481,610.0220933337321
50000,25,148.02898436467987,610.0220933337321
52000,26,-332.19211196739604,610.0220933337321
54000,27,21.478614349318978,610.0220933337321
56000,28,25.504993006047176,610.0220933337321
58000,29,-415.21112699080163,610.0220933337321
60000,30,515.2674562762018,610.0220933337321
62000,31,14.185179239960831,610.0220933337321
64000,32,-240.79839112226202,610.0220933337321
66000,33,-398.05781044689354,610.0220933337321
68000,34,-464.95903634356307,610.0220933337321
70000,35,-211.91674863189704,610.0220933337321
72000,36,-405.81050841321706,610.0220933337321
74000,37,284.93477430507585,610.0220933337321
76000,38,-451.08666426890414,610.0220933337321
78000,39,-233.23583574155035,610.0220933337321
80000,40,-542.4620510948415,610.0220933337321
82000,41,-335.7089452562662,610.0220933337321
84000,42,-246.05946166846945,610.0220933337321
86000,43,181.01564145671117,610.0220933337321
88000,44,-372.3241270074619,610.0220933337321
90000,45,-277.2530525059438,610.0220933337321
92000,46,-570.855574553723,610.0220933337321
94000,47,-516.6133997798872,610.0220933337321
96000,48,-257.2426689918695,610.0220933337321
98000,49,-580.8795645146685,610.0220933337321
100000,50,129.8574672438497,610.0220933337321
102000,51,-387.0202977065469,610.0220933337321
104000,52,-469.8530232954766,610.0220933337321
106000,53,-368.95291673222204,610.0220933337321
108000,54,-221.13035355542362,610.0220933337321
110000,55,-226.61793395723544,610.0220933337321
112000,56,-287.1698813581822,610.0220933337321
114000,57,21.95662088168998,610.0220933337321
116000,58,-423.8541931021639,610.0220933337321
118000,59,-373.2125351164538,610.0220933337321
120000,60,-322.9063006504983,610.0220933337321
122000,61,-373.5844394779358,610.0220933337321
124000,62,-388.94340758170813,610.0220933337321
126000,63,-181.7508324278019,610.0220933337321
128000,64,170.1356052361694,610.0220933337321
130000,65,-319.0418694538648,610.0220933337321
132000,66,-302.0175634734353,610.0220933337321
134000,67,-82.30497122709761,610.0220933337321
136000,68,364.1384267715102,610.0220933337321
138000,69,-278.7020194861141,610.0220933337321
140000,70,-185.08167417115024,610.0220933337321
142000,71,268.48418748724634,610.0220933337321
144000,72,-91.64854133692027,610.0220933337321
146000,73,460.98911171989613,610.0220933337321
148000,74,139.35649301555708,610.0220933337321
150000,75,-323.0148871723895,610.0220933337321
152000,76,-630.0900204117091,610.0220933337321
154000,77,-351.6554885402129,610.0220933337321
156000,78,167.9757193207686,610.0220933337321
158000,79,-390.71662292908155,610.0220933337321
160000,80,364.8931878418009,610.0220933337321
162000,81,167.10575921963306,610.0220933337321
164000,82,195.3852578955154,610.0220933337321
166000,83,-166.1843743530455,610.0220933337321
168000,84,-294.6983631680266,610.0220933337321
170000,85,-323.7212228903865,610.0220933337321
172000,86,195.06458940742348,610.0220933337321
174000,87,-410.2337084035156,610.0220933337321
176000,88,-395.54555570169475,610.0220933337321
178000,89,39.02690432551817,610.0220933337321
180000,90,-7.6039817827510365,610.0220933337321
182000,91,-277.58242744475154,610.0220933337321
184000,92,-155.33070826174958,610.0220933337321
186000,93,-393.0231133099751,610.0220933337321
188000,94,-341.10786915404435,610.0220933337321
190000,95,-87.98772492489321,610.0220933337321
192000,96,-848.9608662989573,610.0220933337321
194000,97,414.7958625972219,610.0220933337321
196000,98,26.254205813061837,610.0220933337321
198000,99,56.39044865708441,610.0220933337321
200000,100,258.5654001452429,610.0220933337321
202000,101,-282.34379722323666,610.0220933337321
204000,102,-465.2194958762161,610.0220933337321
206000,103,-383.3892918833883,610.0220933337321
208000,104,91.073517261556,610.0220933337321
210000,105,408.2774573542527,610.0220933337321
212000,106,-470.6823640833136,610.0220933337321
214000,107,-390.12413178246555,610.0220933337321
216000,108,-436.6634094091969,610.0220933337321
218000,109,290.2675238474715,610.0220933337321
220000,110,-156.352439214087,610.0220933337321
222000,111,-325.1735845691651,610.0220933337321
224000,112,298.92363302458074,610.0220933337321
226000,113,-154.2270643785297,610.0220933337321
228000,114,-604.6827213219711,610.0220933337321
230000,115,-409.73665495543145,610.0220933337321
232000,116,-306.98886635365545,610.0220933337321
234000,117,206.22142727691204,610.0220933337321
236000,118,44.71444738735757,610.0220933337321
238000,119,-63.28016570419072,610.0220933337321
240000,120,-430.54477232843743,610.0220933337321
242000,121,-188.9679595103527,610.0220933337321
244000,122,-60.43011913074057,610.0220933337321
246000,123,77.19795522299118,610.0220933337321
248000,124,548.4210216939777,610.0220933337321
250000,125,-147.24131543447777,610.0220933337321
252000,126,101.6722793969885,610.0220933337321
254000,127,-622.4524730299589,610.0220933337321
256000,128,-114.26458430237805,610.0220933337321
258000,129,-703.8304305381789,610.0220933337321
260000,130,106.540357323517,610.0220933337321
262000,131,-203.18139443482875,610.0220933337321
264000,132,159.00491506231384,610.0220933337321
266000,133,-38.03901645456138,610.0220933337321
268000,134,-346.59047606032436,610.0220933337321
270000,135,-85.27895558144296,610.0220933337321
272000,136,48.21154154479409,610.0220933337321
274000,137,132.80171786603617,610.0220933337321
276000,138,291.66853737405,610.0220933337321
278000,139,-21.811300315553087,610.0220933337321
280000,140,-78.62082021148358,610.0220933337321
282000,141,-475.68677797355883,610.0220933337321
284000,142,-208.33986182700122,610.0220933337321
286000,143,-559.6707188466391,610.0220933337321
288000,144,-132.02515593142772,610.0220933337321
290000,145,475.59940315681166,610.0220933337321
292000,146,-14.817876399633924,610.0220933337321
294000,147,-330.1723336315197,610.0220933337321
296000,148,-143.1909325610501,610.0220933337321
298000,149,-261.15300114833656,610.0220933337321
300000,150,53.527099773961694,610.0220933337321
302000,151,-495.3610830843646,610.0220933337321
304000,152,205.01930612005714,610.0220933337321
306000,153,-110.39797444452348,610.0220933337321
308000,154,-359.17714596353295,610.0220933337321
310000,155,306.04474198821816,610.0220933337321
312000,156,32.014688345014235,610.0220933337321
314000,157,48.47576799341505,610.0220933337321
316000,158,-76.62275153464553,610.0220933337321
318000,159,653.7056793770621,653.7056793770621
320000,160,30.883066788711545,653.7056793770621
322000,161,360.1430094239902,653.7056793770621
324000,162,1005.701247835993,1005.701247835993
326000,163,-145.58800082822125,1005.701247835993
328000,164,253.7364891222904,1005.701247835993
330000,165,-377.5303634998127,1005.701247835993
332000,166,264.8123670304687,1005.701247835993
334000,167,296.02277747753095,1005.701247835993
336000,168,412.6296601493173,1005.701247835993
338000,169,-347.3724283746226,1005.701247835993
340000,170,-453.46585758215934,1005.701247835993
342000,171,255.77155520811502,1005.701247835993
344000,172,-330.72359459002456,1005.701247835993
346000,173,-113.83399994707015,1005.701247835993
348000,174,1196.8237023274403,1196.8237023274403
350000,175,293.2816203740973,1196.8237023274403
352000,176,261.2775298395927,1196.8237023274403
354000,177,-154.32061242780776,1196.8237023274403
356000,178,-142.06237721429858,1196.8237023274403
358000,179,-252.8489739796541,1196.8237023274403
360000,180,129.09007587983498,1196.8237023274403
362000,181,196.24730928901562,1196.8237023274403
364000,182,310.25652352243077,1196.8237023274403
366000,183,292.0563037665795,1196.8237023274403
368000,184,-174.81412150334378,1196.8237023274403
370000,185,167.71145946481352,1196.8237023274403
372000,186,-153.02040159573937,1196.8237023274403
374000,187,252.7085287887658,1196.8237023274403
376000,188,296.23854362067686,1196.8237023274403
378000,189,-362.4172638626758,1196.8237023274403
380000,190,54.659284499386345,1196.8237023274403
382000,191,-709.7216068922864,1196.8237023274403
384000,192,-616.3182103797469,1196.8237023274403
386000,193,200.56339486656395,1196.8237023274403
388000,194,439.14262415918836,1196.8237023274403
390000,195,486.08780719396094,1196.8237023274403
392000,196,-16.64470546403905,1196.8237023274403
394000,197,374.01811052793016,1196.8237023274403
396000,198,-758.7447431520719,1196.8237023274403
398000,199,218.11623178590054,1196.8237023274403
400000,200,-161.41884275627908,1196.8237023274403
