method,sigma,seed,train_steps,train_best_fitness,eval_episodes,normal_gravity_mean,normal_gravity_sem,reduced_gravity_mean,reduced_gravity_sem,retention,wallclock_s,label
GA,0.05,0,400000,345.30695087623064,10,244.1786295633462,48.71872156111907,116.90179584891568,45.8501047091239,0.47875522955455185,27.8,GA sigma=0.05
GA,0.05,1,400000,1196.8237023274403,10,538.3062221920811,121.11331410413686,231.71837865132588,57.64325433986899,0.4304582951089184,26.0,GA sigma=0.05
GA,0.05,2,400000,403.6512870969236,10,310.16799326001626,26.226046653271347,-78.97244549964047,27.9523414175367,-0.25461184653387897,26.5,GA sigma=0.05
GA,0.3,0,400000,632.0730637132331,10,165.12279690489328,104.99588489684913,-45.81111284331448,108.24658796238887,-0.27743663323302703,28.2,GA sigma=0.30
GA,0.3,1,400000,745.7288315667004,10,382.70204851154006,119.02381747773507,506.8310869880159,42.28713745806912,1.324349030686552,27.2,GA sigma=0.30
GA,0.3,2,400000,959.0721128657619,10,918.0057880098224,28.67860776008937,330.27966151715424,176.00259412318087,0.3597794979410526,27.1,GA sigma=0.30
PPO,,0,400000,1150.772488,10,1328.9496645923932,6.619488573262545,1231.0873953776547,23.476223222100778,0.926361191983329,502.5,PPO
PPO,,1,400000,1044.365729,10,1186.3428959967473,11.019485063777669,1081.0610801935286,14.473002406061635,0.9112551555216567,473.1,PPO
PPO,,2,400000,882.95556,10,1037.9193835015158,8.673038907604747,1003.1031751144465,19.999732722461925,0.9664557682027156,471.4,PPO
