env_steps,tournament,best_this_tournament,best_so_far
2000,1,34.72191376950759,34.72191376950759
4000,2,-312.5416607872599,34.72191376950759
6000,3,-1059.5890455021922,34.72191376950759
8000,4,-10.51773137359999,34.72191376950759
10000,5,-17.10930857065094,34.72191376950759
12000,6,-1128.9411353121973,34.72191376950759
14000,7,-279.15812465040227,34.72191376950759
16000,8,-1.5026421208428147,34.72191376950759
18000,9,-286.9244296532701,34.72191376950759
20000,10,-620.4841707837501,34.72191376950759
22000,11,-305.6609591640215,34.72191376950759
24000,12,-497.9961498276297,34.72191376950759
26000,13,-279.0708864803173,34.72191376950759
28000,14,125.50969693999917,125.50969693999917
30000,15,-535.2513071620419,125.50969693999917
32000,16,-378.30292229098933,125.50969693999917
34000,17,-483.26579238844096,125.50969693999917
36000,18,19.990291374859236,125.50969693999917
38000,19,31.00085400241114,125.50969693999917
40000,20,-461.6342276641942,125.50969693999917
42000,21,-422.23076225227624,125.50969693999917
44000,22,95.52162570354248,125.50969693999917
46000,23,-684.9373045068439,125.50969693999917
48000,24,-47.26390049292163,125.50969693999917
50000,25,-446.31703313616345,125.50969693999917
52000,26,-888.8725824465652,125.50969693999917
54000,27,130.57520298866555,130.57520298866555
56000,28,119.34452059088922,130.57520298866555
58000,29,-303.72337106666254,130.57520298866555
60000,30,3.310243463526314,130.57520298866555
62000,31,-686.7871800586883,130.57520298866555
64000,32,-223.13817881090452,130.57520298866555
66000,33,-477.030702772664,130.57520298866555
68000,34,-44.25317349384273,130.57520298866555
70000,35,-431.62908275971307,130.57520298866555
72000,36,-523.5183129775497,130.57520298866555
74000,37,-159.57128862305865,130.57520298866555
76000,38,-454.1398373531799,130.57520298866555
78000,39,-322.8646402098164,130.57520298866555
80000,40,-120.35625625840368,130.57520298866555
82000,41,-360.0949023509939,130.57520298866555
84000,42,-590.4068469376557,130.57520298866555
86000,43,89.68720417311417,130.57520298866555
88000,44,-409.90801895672644,130.57520298866555
90000,45,-494.7898048586871,130.57520298866555
92000,46,-172.88406831525458,130.57520298866555
94000,47,-701.7159863765969,130.57520298866555
96000,48,2.8422703530372955,130.57520298866555
98000,49,-368.03766538565634,130.57520298866555
100000,50,-541.7174828476224,130.57520298866555
102000,51,-456.59548564771825,130.57520298866555
104000,52,-561.4292565763927,130.57520298866555
106000,53,-346.34659881895914,130.57520298866555
108000,54,-304.8728726817248,130.57520298866555
110000,55,-503.99537360670115,130.57520298866555
112000,56,-464.4473911105188,130.57520298866555
114000,57,-446.85257705782135,130.57520298866555
116000,58,-6.1696978552001855,130.57520298866555
118000,59,608.4122635496445,608.4122635496445
120000,60,-518.7033635365771,608.4122635496445
122000,61,74.71104092852575,608.4122635496445
124000,62,123.84503191531763,608.4122635496445
126000,63,-393.4315282282949,608.4122635496445
128000,64,15.78716271612754,608.4122635496445
130000,65,-435.30853152887556,608.4122635496445
132000,66,38.64998140985656,608.4122635496445
134000,67,463.14378145382136,608.4122635496445
136000,68,1.8917681108014022,608.4122635496445
138000,69,-700.7197819523618,608.4122635496445
140000,70,-498.38204736911064,608.4122635496445
142000,71,-36.82538929964405,608.4122635496445
144000,72,220.4146377046255,608.4122635496445
146000,73,-56.827789060726474,608.4122635496445
148000,74,-38.74436248395421,608.4122635496445
150000,75,-774.6957108762041,608.4122635496445
152000,76,8.256420861711824,608.4122635496445
154000,77,-568.5099470912446,608.4122635496445
156000,78,-385.5433199662599,608.4122635496445
158000,79,-742.1978780051177,608.4122635496445
160000,80,684.3597846439415,684.3597846439415
162000,81,-108.87442917374241,684.3597846439415
164000,82,-62.55932145810289,684.3597846439415
166000,83,-578.4800019149266,684.3597846439415
168000,84,19.20572522250781,684.3597846439415
170000,85,-323.2865095686123,684.3597846439415
172000,86,72.98437427329574,684.3597846439415
174000,87,41.33311557751051,684.3597846439415
176000,88,-273.38719191697754,684.3597846439415
178000,89,99.00896780228183,684.3597846439415
180000,90,-170.26341282473373,684.3597846439415
182000,91,48.76303536095023,684.3597846439415
184000,92,-137.69665312244268,684.3597846439415
186000,93,-121.45289310415977,684.3597846439415
188000,94,-2.1145873614911657,684.3597846439415
190000,95,-404.86487929112246,684.3597846439415
192000,96,-173.2710741675966,684.3597846439415
194000,97,606.3420573677736,684.3597846439415
196000,98,-421.9921630448752,684.3597846439415
198000,99,-439.9166945002441,684.3597846439415
200000,100,-88.00031909669627,684.3597846439415
202000,101,83.27098351315779,684.3597846439415
204000,102,81.58859559312243,684.3597846439415
206000,103,1.3508763818229588,684.3597846439415
208000,104,-263.00394689393875,684.3597846439415
210000,105,-198.0270737806682,684.3597846439415
212000,106,330.196587827028,684.3597846439415
214000,107,-467.2679904592201,684.3597846439415
216000,108,-218.32704319788408,684.3597846439415
218000,109,-324.4465746785225,684.3597846439415
220000,110,476.7088328215697,684.3597846439415
222000,111,-70.66745022571993,684.3597846439415
224000,112,-324.70612785852745,684.3597846439415
226000,113,-580.3526730327733,684.3597846439415
228000,114,-149.58536936301374,684.3597846439415
230000,115,-99.15893020394786,684.3597846439415
232000,116,-409.4774137598147,684.3597846439415
234000,117,470.6737018741682,684.3597846439415
236000,118,430.3083922977256,684.3597846439415
238000,119,-110.92665616450404,684.3597846439415
240000,120,-390.6965084331045,684.3597846439415
242000,121,-574.5865208178753,684.3597846439415
244000,122,428.8769248431111,684.3597846439415
246000,123,14.446933304846064,684.3597846439415
248000,124,-438.51790764430234,684.3597846439415
250000,125,-2.196077529897704,684.3597846439415
252000,126,246.1830852586121,684.3597846439415
254000,127,-346.40819088853596,684.3597846439415
256000,128,-224.61539273109364,684.3597846439415
258000,129,-398.99970015579333,684.3597846439415
260000,130,432.36808201498496,684.3597846439415
262000,131,-442.8208232664434,684.3597846439415
264000,132,516.3532810679759,684.3597846439415
266000,133,-115.01181554688318,684.3597846439415
268000,134,-171.10151341182538,684.3597846439415
270000,135,431.3553410832746,684.3597846439415
272000,136,-523.4173030135992,684.3597846439415
274000,137,492.23220949224583,684.3597846439415
276000,138,252.68904356625623,684.3597846439415
278000,139,91.01539657196456,684.3597846439415
280000,140,-257.76608510038506,684.3597846439415
282000,141,-159.14826991588373,684.3597846439415
284000,142,-98.3568212684011,684.3597846439415
286000,143,-783.2158612879302,684.3597846439415
288000,144,100.47184600873994,684.3597846439415
290000,145,-523.3226392866757,684.3597846439415
292000,146,-675.2436363497527,684.3597846439415
294000,147,267.8210366508112,684.3597846439415
296000,148,42.242596828690246,684.3597846439415
298000,149,169.95104750879648,684.3597846439415
300000,150,-517.46761422824,684.3597846439415
302000,151,472.83634549618523,684.3597846439415
304000,152,553.7223384297495,684.3597846439415
306000,153,161.13734211606624,684.3597846439415
308000,154,-406.26132690110643,684.3597846439415
310000,155,-446.9355561644126,684.3597846439415
312000,156,-548.3303345312048,684.3597846439415
314000,157,-367.05206643514776,684.3597846439415
316000,158,-511.2827600542734,684.3597846439415
318000,159,-101.98989497564979,684.3597846439415
320000,160,-4.539428129750668,684.3597846439415
322000,161,-641.174097516507,684.3597846439415
324000,162,452.63390640296114,684.3597846439415
326000,163,592.4695327747093,684.3597846439415
328000,164,427.8971311040142,684.3597846439415
330000,165,-127.27675238174618,684.3597846439415
332000,166,-460.9514113334678,684.3597846439415
334000,167,180.3581026856859,684.3597846439415
336000,168,617.3178436649097,684.3597846439415
338000,169,-490.57907098527767,684.3597846439415
340000,170,-48.5781766552528,684.3597846439415
342000,171,290.7190043486299,684.3597846439415
344000,172,-269.91796463646875,684.3597846439415
346000,173,32.789099331947156,684.3597846439415
348000,174,-539.368200116408,684.3597846439415
350000,175,-333.1452823495217,684.3597846439415
352000,176,-262.8983588535651,684.3597846439415
354000,177,2.9295717105362904,684.3597846439415
356000,178,-55.244473255941124,684.3597846439415
358000,179,-101.96562384943945,684.3597846439415
360000,180,0.670902296365789,684.3597846439415
362000,181,84.63957172474557,684.3597846439415
364000,182,106.65406203640956,684.3597846439415
366000,183,217.57310181300082,684.3597846439415
368000,184,429.9934585176751,684.3597846439415
370000,185,66.65323060847474,684.3597846439415
372000,186,10.338374282231557,684.3597846439415
374000,187,-360.9333266199601,684.3597846439415
376000,188,-135.61860750705736,684.3597846439415
378000,189,-348.2045188941631,684.3597846439415
380000,190,70.58021407249892,684.3597846439415
382000,191,-487.76612302295547,684.3597846439415
384000,192,429.70751552383206,684.3597846439415
386000,193,66.95105122826945,684.3597846439415
388000,194,745.7288315667004,745.7288315667004
390000,195,578.0740385624592,745.7288315667004
392000,196,-633.6779453872423,745.7288315667004
394000,197,86.76735488916808,745.7288315667004
396000,198,452.43278278388124,745.7288315667004
398000,199,5.624433764811212,745.7288315667004
400000,200,-580.918628613183,745.7288315667004
