env_steps,tournament,best_this_tournament,best_so_far
2000,1,-566.0982989368529,-566.0982989368529
4000,2,-1127.2355532223924,-566.0982989368529
6000,3,-545.6238978222442,-545.6238978222442
8000,4,-148.51490094720097,-148.51490094720097
10000,5,-457.68039504196366,-148.51490094720097
12000,6,-420.2320894911976,-148.51490094720097
14000,7,-263.8876050684876,-148.51490094720097
16000,8,-682.4882201438642,-148.51490094720097
18000,9,-382.05534818563535,-148.51490094720097
20000,10,-392.37321007790433,-148.51490094720097
22000,11,-306.9141642824657,-148.51490094720097
24000,12,-784.272881775246,-148.51490094720097
26000,13,-554.7200230527484,-148.51490094720097
28000,14,-233.135256093799,-148.51490094720097
30000,15,-463.8809924625419,-148.51490094720097
32000,16,-226.16004924962576,-148.51490094720097
34000,17,-177.04020223555884,-148.51490094720097
36000,18,-23.73700962793226,-23.73700962793226
38000,19,-647.9609570201848,-23.73700962793226
40000,20,-460.41218641506276,-23.73700962793226
42000,21,-101.75489185897224,-23.73700962793226
44000,22,-428.6510135765914,-23.73700962793226
46000,23,-845.842406767838,-23.73700962793226
48000,24,-647.2117874263054,-23.73700962793226
50000,25,-320.87237918949984,-23.73700962793226
52000,26,-622.4477194521326,-23.73700962793226
54000,27,-646.8118155503521,-23.73700962793226
56000,28,-483.52614436622383,-23.73700962793226
58000,29,-626.7647645896494,-23.73700962793226
60000,30,-144.246550230824,-23.73700962793226
62000,31,-409.81348199124,-23.73700962793226
64000,32,-207.12079508163072,-23.73700962793226
66000,33,-610.4705438785919,-23.73700962793226
68000,34,-883.9947551709131,-23.73700962793226
70000,35,258.74848457836964,258.74848457836964
72000,36,-208.1577484211097,258.74848457836964
74000,37,481.0707473158925,481.0707473158925
76000,38,163.2195559431104,481.0707473158925
78000,39,-454.44885754587966,481.0707473158925
80000,40,-502.5170913358541,481.0707473158925
82000,41,-591.2036000232307,481.0707473158925
84000,42,-567.8291594149358,481.0707473158925
86000,43,222.3528604369119,481.0707473158925
88000,44,-582.6300067789596,481.0707473158925
90000,45,414.4200172024637,481.0707473158925
92000,46,-641.5487466915105,481.0707473158925
94000,47,-473.9564069790836,481.0707473158925
96000,48,-482.93959729604984,481.0707473158925
98000,49,-510.2863488086382,481.0707473158925
100000,50,-523.2757133860763,481.0707473158925
102000,51,-332.5642557774096,481.0707473158925
104000,52,-927.4537414827843,481.0707473158925
106000,53,-439.56064971407386,481.0707473158925
108000,54,-349.0563154374802,481.0707473158925
110000,55,395.01212611588886,481.0707473158925
112000,56,-384.9099071969059,481.0707473158925
114000,57,-540.675719088365,481.0707473158925
116000,58,-499.8281131353257,481.0707473158925
118000,59,-820.7582434865091,481.0707473158925
120000,60,-544.8573159052386,481.0707473158925
122000,61,-56.90885029275596,481.0707473158925
124000,62,-544.0016724714721,481.0707473158925
126000,63,-411.1262427669393,481.0707473158925
128000,64,-752.0995694128703,481.0707473158925
130000,65,-302.0453666997083,481.0707473158925
132000,66,233.45730032605132,481.0707473158925
134000,67,-579.4734569334537,481.0707473158925
136000,68,-526.3411076306454,481.0707473158925
138000,69,-460.8905408712645,481.0707473158925
140000,70,-501.83469958446346,481.0707473158925
142000,71,-362.01122069889544,481.0707473158925
144000,72,-511.86202714878397,481.0707473158925
146000,73,-431.18434585156837,481.0707473158925
148000,74,-231.04971561915215,481.0707473158925
150000,75,-85.41643745638892,481.0707473158925
152000,76,-640.8499019053071,481.0707473158925
154000,77,-481.29814887737376,481.0707473158925
156000,78,-799.4522312304555,481.0707473158925
158000,79,-496.45997539212544,481.0707473158925
160000,80,-613.638864685688,481.0707473158925
162000,81,-717.7061528159717,481.0707473158925
164000,82,-695.0193455876084,481.0707473158925
166000,83,594.6282028997576,594.6282028997576
168000,84,367.94317613488334,594.6282028997576
170000,85,-645.8088808757619,594.6282028997576
172000,86,-39.96242109284765,594.6282028997576
174000,87,-439.47009131305344,594.6282028997576
176000,88,50.31854762179825,594.6282028997576
178000,89,-288.6662247921872,594.6282028997576
180000,90,-563.8005301469819,594.6282028997576
182000,91,374.8216867895235,594.6282028997576
184000,92,-448.34167727790077,594.6282028997576
186000,93,665.4397483522887,665.4397483522887
188000,94,656.8769912743659,665.4397483522887
190000,95,-110.91777779919603,665.4397483522887
192000,96,-376.4891674599701,665.4397483522887
194000,97,-467.18834211832586,665.4397483522887
196000,98,-9.842945461433706,665.4397483522887
198000,99,-642.9115707285122,665.4397483522887
200000,100,-340.1698430028401,665.4397483522887
202000,101,-355.2176919942123,665.4397483522887
204000,102,-661.2676775013562,665.4397483522887
206000,103,445.8356294133471,665.4397483522887
208000,104,-314.931263522964,665.4397483522887
210000,105,325.6824039680822,665.4397483522887
212000,106,-404.9493471436039,665.4397483522887
214000,107,-521.6864987427999,665.4397483522887
216000,108,-259.31345367464485,665.4397483522887
218000,109,-603.6027254069083,665.4397483522887
220000,110,617.5135101195644,665.4397483522887
222000,111,657.4877895149872,665.4397483522887
224000,112,-313.6243803846956,665.4397483522887
226000,113,-548.1395639877692,665.4397483522887
228000,114,533.6670979011823,665.4397483522887
230000,115,-34.53836441983825,665.4397483522887
232000,116,634.1734164818212,665.4397483522887
234000,117,-399.1675302849826,665.4397483522887
236000,118,637.7357509632238,665.4397483522887
238000,119,-616.4723823880956,665.4397483522887
240000,120,112.04380760586861,665.4397483522887
242000,121,-571.2342619617663,665.4397483522887
244000,122,534.2669839175012,665.4397483522887
246000,123,-824.7785004805517,665.4397483522887
248000,124,-477.20538410544503,665.4397483522887
250000,125,645.5358508504212,665.4397483522887
252000,126,-497.68717230822944,665.4397483522887
254000,127,-475.6930090241083,665.4397483522887
256000,128,-143.155209602153,665.4397483522887
258000,129,349.24848538492296,665.4397483522887
260000,130,-372.68530912026023,665.4397483522887
262000,131,344.11056718802257,665.4397483522887
264000,132,-181.36875202721694,665.4397483522887
266000,133,606.0666791080663,665.4397483522887
268000,134,664.3047792424437,665.4397483522887
270000,135,101.46166032534953,665.4397483522887
272000,136,626.7002535769042,665.4397483522887
274000,137,585.0630844272467,665.4397483522887
276000,138,-534.5763815785267,665.4397483522887
278000,139,559.9420908784268,665.4397483522887
280000,140,-476.6418299613903,665.4397483522887
282000,141,-172.79530637251554,665.4397483522887
284000,142,-501.0501294837641,665.4397483522887
286000,143,-654.4065969188474,665.4397483522887
288000,144,354.9756874127451,665.4397483522887
290000,145,649.1800667408319,665.4397483522887
292000,146,-362.4115908581261,665.4397483522887
294000,147,-241.30512177039853,665.4397483522887
296000,148,659.2057850916112,665.4397483522887
298000,149,-345.06876665835944,665.4397483522887
300000,150,656.6385958193706,665.4397483522887
302000,151,-306.3724888262159,665.4397483522887
304000,152,-382.99429470582044,665.4397483522887
306000,153,656.6706416164966,665.4397483522887
308000,154,-227.77177463109874,665.4397483522887
310000,155,-586.3662741907199,665.4397483522887
312000,156,-203.63922488953023,665.4397483522887
314000,157,-313.65514999718897,665.4397483522887
316000,158,-1371.2103625533716,665.4397483522887
318000,159,-423.69350773036723,665.4397483522887
320000,160,683.1591508763274,683.1591508763274
322000,161,484.34064042140096,683.1591508763274
324000,162,652.6557390670599,683.1591508763274
326000,163,668.9112739018232,683.1591508763274
328000,164,607.2255347543482,683.1591508763274
330000,165,-490.2022740314066,683.1591508763274
332000,166,259.82179979781836,683.1591508763274
334000,167,-439.36700866395194,683.1591508763274
336000,168,-286.26210846174155,683.1591508763274
338000,169,269.46679408390156,683.1591508763274
340000,170,-236.2416712133029,683.1591508763274
342000,171,-152.42355432698918,683.1591508763274
344000,172,665.1358880078296,683.1591508763274
346000,173,518.5226328389346,683.1591508763274
348000,174,590.8641408584201,683.1591508763274
350000,175,599.2057888290086,683.1591508763274
352000,176,-288.0026962938448,683.1591508763274
354000,177,-210.50740363837377,683.1591508763274
356000,178,937.8959072329712,937.8959072329712
358000,179,-431.3118118439848,937.8959072329712
360000,180,621.8712549730432,937.8959072329712
362000,181,77.82502049438479,937.8959072329712
364000,182,646.4866202866386,937.8959072329712
366000,183,649.7169654384351,937.8959072329712
368000,184,-183.64686096062246,937.8959072329712
370000,185,654.7507249481463,937.8959072329712
372000,186,63.20661971478342,937.8959072329712
374000,187,631.071040857975,937.8959072329712
376000,188,-442.849568682743,937.8959072329712
378000,189,253.5749274057818,937.8959072329712
380000,190,-30.359936395883224,937.8959072329712
382000,191,28.85784389731962,937.8959072329712
384000,192,230.1612969688329,937.8959072329712
386000,193,-316.61610726882293,937.8959072329712
388000,194,572.7266566921767,937.8959072329712
390000,195,940.0488991386796,940.0488991386796
392000,196,641.3401366556255,940.0488991386796
394000,197,443.09533748853335,940.0488991386796
396000,198,-716.66444179423,940.0488991386796
398000,199,959.0721128657619,959.0721128657619
400000,200,-464.67489702638386,959.0721128657619
