env_steps,tournament,best_this_tournament,best_so_far
2000,1,-527.7759858927926,-527.7759858927926
4000,2,-431.99629283540133,-431.99629283540133
6000,3,-525.0489728654375,-431.99629283540133
8000,4,-474.29925964768444,-431.99629283540133
10000,5,-499.7338078033914,-431.99629283540133
12000,6,-796.8060236456522,-431.99629283540133
14000,7,-552.6851239596657,-431.99629283540133
16000,8,-418.3841247129749,-418.3841247129749
18000,9,-521.8350514893576,-418.3841247129749
20000,10,-490.20133045014074,-418.3841247129749
22000,11,-568.7669842701926,-418.3841247129749
24000,12,-630.1736460200353,-418.3841247129749
26000,13,-598.1509783221328,-418.3841247129749
28000,14,-389.2590712071748,-389.2590712071748
30000,15,-481.47248454874534,-389.2590712071748
32000,16,-375.9530757926856,-375.9530757926856
34000,17,-865.8469329717798,-375.9530757926856
36000,18,-718.5434288432452,-375.9530757926856
38000,19,-488.98162670244176,-375.9530757926856
40000,20,-437.22769401279515,-375.9530757926856
42000,21,-936.8742869869329,-375.9530757926856
44000,22,-667.0262261033192,-375.9530757926856
46000,23,-480.1357180583537,-375.9530757926856
48000,24,-422.2665976739038,-375.9530757926856
50000,25,-484.67326811612196,-375.9530757926856
52000,26,-244.29850127303044,-244.29850127303044
54000,27,-126.47810019882465,-126.47810019882465
56000,28,-121.42126603145861,-121.42126603145861
58000,29,-611.8819000502139,-121.42126603145861
60000,30,-529.9874919854334,-121.42126603145861
62000,31,-606.5682219013866,-121.42126603145861
64000,32,-411.95710018641375,-121.42126603145861
66000,33,-80.41675846480555,-80.41675846480555
68000,34,-399.49593899529384,-80.41675846480555
70000,35,-304.5971467562898,-80.41675846480555
72000,36,-529.4321898767232,-80.41675846480555
74000,37,-96.9478149533664,-80.41675846480555
76000,38,-395.10499695383584,-80.41675846480555
78000,39,-282.17723217252086,-80.41675846480555
80000,40,-278.675526985638,-80.41675846480555
82000,41,-353.76108100594536,-80.41675846480555
84000,42,-211.22486921009,-80.41675846480555
86000,43,-125.70979117209177,-80.41675846480555
88000,44,-308.57256957791185,-80.41675846480555
90000,45,-136.40780496110733,-80.41675846480555
92000,46,-428.18448977805633,-80.41675846480555
94000,47,-92.7539743406831,-80.41675846480555
96000,48,-497.23292606876134,-80.41675846480555
98000,49,-53.744408876404385,-53.744408876404385
100000,50,-268.6431865151447,-53.744408876404385
102000,51,-49.69447867374534,-49.69447867374534
104000,52,-120.48852038239065,-49.69447867374534
106000,53,-133.82051578432421,-49.69447867374534
108000,54,-387.7647828804642,-49.69447867374534
110000,55,-379.39788970385433,-49.69447867374534
112000,56,-207.32311314213285,-49.69447867374534
114000,57,-171.80031068074953,-49.69447867374534
116000,58,-165.98040894545673,-49.69447867374534
118000,59,-325.8205460891999,-49.69447867374534
120000,60,-545.7962324186881,-49.69447867374534
122000,61,-242.6792648450816,-49.69447867374534
124000,62,-115.6136259629806,-49.69447867374534
126000,63,-106.22610250391523,-49.69447867374534
128000,64,-36.50360742144203,-36.50360742144203
130000,65,-10.99372481188971,-10.99372481188971
132000,66,-393.6807271364293,-10.99372481188971
134000,67,-615.7273727655703,-10.99372481188971
136000,68,-316.58524787615573,-10.99372481188971
138000,69,-367.6773439986712,-10.99372481188971
140000,70,-314.7628265587923,-10.99372481188971
142000,71,-474.3020240241899,-10.99372481188971
144000,72,-353.46168125047234,-10.99372481188971
146000,73,-607.4534961853898,-10.99372481188971
148000,74,-185.84993766538247,-10.99372481188971
150000,75,-263.11013077697487,-10.99372481188971
152000,76,-339.5494236663553,-10.99372481188971
154000,77,-287.45619825752766,-10.99372481188971
156000,78,-187.54010070717274,-10.99372481188971
158000,79,-169.55239196437662,-10.99372481188971
160000,80,-539.8804007685966,-10.99372481188971
162000,81,-425.30391620200635,-10.99372481188971
164000,82,-172.91522050376597,-10.99372481188971
166000,83,-416.7926587961437,-10.99372481188971
168000,84,-469.3446584626722,-10.99372481188971
170000,85,-411.64031284407696,-10.99372481188971
172000,86,-384.66110575541956,-10.99372481188971
174000,87,-552.8474029857265,-10.99372481188971
176000,88,10.945751818532003,10.945751818532003
178000,89,-324.95526862402824,10.945751818532003
180000,90,-355.7013653053299,10.945751818532003
182000,91,-467.63875639893257,10.945751818532003
184000,92,-218.95998144887412,10.945751818532003
186000,93,-501.5775948077945,10.945751818532003
188000,94,-422.07208480936845,10.945751818532003
190000,95,-190.04271238303988,10.945751818532003
192000,96,-188.53821968638724,10.945751818532003
194000,97,-381.7647531574994,10.945751818532003
196000,98,-428.20476859044646,10.945751818532003
198000,99,43.16234200978638,43.16234200978638
200000,100,-195.90916849433006,43.16234200978638
202000,101,-626.4050677799762,43.16234200978638
204000,102,-223.3839626835788,43.16234200978638
206000,103,-339.00580555871716,43.16234200978638
208000,104,-59.423813252721054,43.16234200978638
210000,105,85.92522966876106,85.92522966876106
212000,106,-295.03868352016855,85.92522966876106
214000,107,-188.81448065593227,85.92522966876106
216000,108,-150.53187956504334,85.92522966876106
218000,109,-71.8161738308923,85.92522966876106
220000,110,-353.99401039174876,85.92522966876106
222000,111,-171.36334675233644,85.92522966876106
224000,112,-99.83237315560484,85.92522966876106
226000,113,-258.47132246289254,85.92522966876106
228000,114,-302.612342759239,85.92522966876106
230000,115,36.715391086233055,85.92522966876106
232000,116,-18.789685766284585,85.92522966876106
234000,117,-198.75427791132972,85.92522966876106
236000,118,-12.65754599117367,85.92522966876106
238000,119,-231.7514396995408,85.92522966876106
240000,120,-289.26393852305904,85.92522966876106
242000,121,-141.3754424007446,85.92522966876106
244000,122,-96.78532323394037,85.92522966876106
246000,123,-35.35883601967763,85.92522966876106
248000,124,-110.413029664269,85.92522966876106
250000,125,-243.08713541289276,85.92522966876106
252000,126,-316.8749329904537,85.92522966876106
254000,127,27.304244655284737,85.92522966876106
256000,128,-118.06366612519005,85.92522966876106
258000,129,-273.0304299263271,85.92522966876106
260000,130,-222.74234557536673,85.92522966876106
262000,131,-113.26193906098267,85.92522966876106
264000,132,-0.04730528263687939,85.92522966876106
266000,133,-225.68101239353052,85.92522966876106
268000,134,-330.1771959071643,85.92522966876106
270000,135,-16.216192608189175,85.92522966876106
