env_steps,tournament,best_this_tournament,best_so_far
2000,1,-487.99166987665757,-487.99166987665757
4000,2,-1282.824060418634,-487.99166987665757
6000,3,-402.6828444033446,-402.6828444033446
8000,4,-215.193581927083,-215.193581927083
10000,5,-773.7046077688012,-215.193581927083
12000,6,-424.8730036581545,-215.193581927083
14000,7,-148.73398114094007,-148.73398114094007
16000,8,-924.3170008986143,-148.73398114094007
18000,9,-293.80331321857085,-148.73398114094007
20000,10,-112.8098924744134,-112.8098924744134
22000,11,-351.6559642330319,-112.8098924744134
24000,12,-171.79805165508935,-112.8098924744134
26000,13,-415.033936011275,-112.8098924744134
28000,14,-635.7150228225273,-112.8098924744134
30000,15,-450.1605587179924,-112.8098924744134
32000,16,-288.5354424134913,-112.8098924744134
34000,17,-112.81003051924591,-112.8098924744134
36000,18,-643.357662733969,-112.8098924744134
38000,19,-116.87412960132713,-112.8098924744134
40000,20,-578.3458411429737,-112.8098924744134
42000,21,-864.4518759355761,-112.8098924744134
44000,22,-164.08044413665422,-112.8098924744134
46000,23,-437.8201083508148,-112.8098924744134
48000,24,-489.41907206082703,-112.8098924744134
50000,25,-125.4222261841836,-112.8098924744134
52000,26,-231.85534735901183,-112.8098924744134
54000,27,-50.05490629214367,-50.05490629214367
56000,28,-552.7541859480409,-50.05490629214367
58000,29,-847.4368665644167,-50.05490629214367
60000,30,-130.23491263293394,-50.05490629214367
62000,31,-416.844482321561,-50.05490629214367
64000,32,-155.8622742877973,-50.05490629214367
66000,33,-90.99589242394202,-50.05490629214367
68000,34,-259.86917929144505,-50.05490629214367
70000,35,-669.4823844203155,-50.05490629214367
72000,36,-194.46625122175496,-50.05490629214367
74000,37,-379.1299116663194,-50.05490629214367
76000,38,-301.28306176112915,-50.05490629214367
78000,39,-533.3684177024887,-50.05490629214367
80000,40,-210.6896084595839,-50.05490629214367
82000,41,-120.3318711038627,-50.05490629214367
84000,42,-226.11213536916577,-50.05490629214367
86000,43,-529.4644781871174,-50.05490629214367
88000,44,-773.2226956689966,-50.05490629214367
90000,45,-1367.989825931414,-50.05490629214367
92000,46,-535.0658712294071,-50.05490629214367
94000,47,-534.4305571243078,-50.05490629214367
96000,48,-240.38491801650548,-50.05490629214367
98000,49,-205.6840867737127,-50.05490629214367
100000,50,-319.45218813264285,-50.05490629214367
102000,51,-789.4020425891182,-50.05490629214367
104000,52,-525.066853107448,-50.05490629214367
106000,53,-216.3482318197361,-50.05490629214367
108000,54,-210.9357291907422,-50.05490629214367
110000,55,-121.26981602800915,-50.05490629214367
112000,56,-89.93201433958065,-50.05490629214367
114000,57,-481.73661841013586,-50.05490629214367
116000,58,-81.96307051632775,-50.05490629214367
118000,59,-526.2454962257494,-50.05490629214367
120000,60,-467.8155433037126,-50.05490629214367
122000,61,-562.084784403314,-50.05490629214367
124000,62,-104.93776240189739,-50.05490629214367
126000,63,-165.16188935915832,-50.05490629214367
128000,64,-335.4643313174982,-50.05490629214367
130000,65,-181.33656444495918,-50.05490629214367
132000,66,-340.8393057514332,-50.05490629214367
134000,67,-233.1773274918507,-50.05490629214367
136000,68,-160.6030652425199,-50.05490629214367
138000,69,-327.28067524519736,-50.05490629214367
140000,70,-580.2652217656457,-50.05490629214367
142000,71,-276.55354828318434,-50.05490629214367
144000,72,-458.74462223103285,-50.05490629214367
146000,73,-481.64426534197406,-50.05490629214367
148000,74,-175.81154727519186,-50.05490629214367
150000,75,-664.3336194743122,-50.05490629214367
152000,76,-220.1835218058325,-50.05490629214367
154000,77,-74.20446444450492,-50.05490629214367
156000,78,-479.6537926421534,-50.05490629214367
158000,79,-130.3784067128411,-50.05490629214367
160000,80,-245.30971534184695,-50.05490629214367
162000,81,-560.6313766095958,-50.05490629214367
164000,82,-198.05935037730947,-50.05490629214367
166000,83,-450.4660594180309,-50.05490629214367
168000,84,-674.4086850658024,-50.05490629214367
170000,85,-423.9363318196037,-50.05490629214367
172000,86,-176.885676154738,-50.05490629214367
174000,87,-206.27245100821253,-50.05490629214367
176000,88,-179.75664236974686,-50.05490629214367
178000,89,-293.8397428214274,-50.05490629214367
180000,90,-211.56010231381651,-50.05490629214367
182000,91,-139.06870840273268,-50.05490629214367
184000,92,-259.6494932664307,-50.05490629214367
186000,93,-398.8090219070502,-50.05490629214367
188000,94,225.57585802351636,225.57585802351636
190000,95,-262.67525592607063,225.57585802351636
192000,96,-471.3931107884536,225.57585802351636
194000,97,-330.6488842226711,225.57585802351636
196000,98,-316.7833817298238,225.57585802351636
198000,99,-105.75749481064005,225.57585802351636
200000,100,117.04660286100899,225.57585802351636
202000,101,-89.14236678996717,225.57585802351636
204000,102,-46.304605727588054,225.57585802351636
206000,103,-8.462354748928343,225.57585802351636
208000,104,-423.12155470494656,225.57585802351636
210000,105,246.72841968810852,246.72841968810852
212000,106,-281.9813519798023,246.72841968810852
214000,107,-584.4981031596724,246.72841968810852
216000,108,-491.01496602582733,246.72841968810852
218000,109,-362.6515196676412,246.72841968810852
220000,110,126.6528167022991,246.72841968810852
222000,111,-559.7054602111707,246.72841968810852
224000,112,-428.7538362235462,246.72841968810852
226000,113,-273.7359489761932,246.72841968810852
228000,114,-413.9649765312322,246.72841968810852
230000,115,-396.4254150989007,246.72841968810852
232000,116,-233.615029353509,246.72841968810852
234000,117,-326.6162044644503,246.72841968810852
236000,118,-219.396685218697,246.72841968810852
238000,119,-327.5930348110514,246.72841968810852
240000,120,333.506223559801,333.506223559801
242000,121,-109.24021709648046,333.506223559801
244000,122,1.0017241413774827,333.506223559801
246000,123,-162.630384717129,333.506223559801
248000,124,-194.67298360473498,333.506223559801
250000,125,202.3125177213559,333.506223559801
252000,126,-490.1760093802401,333.506223559801
254000,127,-299.6114052875936,333.506223559801
