env_steps,tournament,best_this_tournament,best_so_far
2000,1,-938.0633218958371,-938.0633218958371
4000,2,-443.4545202648307,-443.4545202648307
6000,3,-495.2120462049781,-443.4545202648307
8000,4,-402.2293520166493,-402.2293520166493
10000,5,-325.03706071685247,-325.03706071685247
12000,6,-614.2454892132835,-325.03706071685247
14000,7,-691.0327758206519,-325.03706071685247
16000,8,-397.47351598427196,-325.03706071685247
18000,9,-516.350581335832,-325.03706071685247
20000,10,-27.090385486245605,-27.090385486245605
22000,11,-698.8741157715469,-27.090385486245605
24000,12,-530.793990810401,-27.090385486245605
26000,13,-698.4679046583218,-27.090385486245605
28000,14,-544.461310216023,-27.090385486245605
30000,15,-409.37122175483665,-27.090385486245605
32000,16,-540.2433434111606,-27.090385486245605
34000,17,-656.4139781528729,-27.090385486245605
36000,18,-669.3232244885846,-27.090385486245605
38000,19,-194.12787434986623,-27.090385486245605
40000,20,-433.0277793327747,-27.090385486245605
42000,21,-566.3757324711493,-27.090385486245605
44000,22,-475.0109008991476,-27.090385486245605
46000,23,-413.76594002275505,-27.090385486245605
48000,24,-539.8385390790927,-27.090385486245605
50000,25,-448.2379923874453,-27.090385486245605
52000,26,-165.34022563977084,-27.090385486245605
54000,27,-381.15685742005815,-27.090385486245605
56000,28,-242.7773497108362,-27.090385486245605
58000,29,-609.8143874511248,-27.090385486245605
60000,30,-308.52995966453875,-27.090385486245605
62000,31,-0.04981291195499171,-0.04981291195499171
64000,32,45.174888048386876,45.174888048386876
66000,33,-544.585804752378,45.174888048386876
68000,34,-587.3097755492761,45.174888048386876
70000,35,-343.27930702639884,45.174888048386876
72000,36,-570.6582066731153,45.174888048386876
74000,37,-392.5373662422741,45.174888048386876
76000,38,-105.27730980247345,45.174888048386876
78000,39,-298.063745514222,45.174888048386876
80000,40,-387.5021495761033,45.174888048386876
82000,41,-391.4115855735564,45.174888048386876
84000,42,-223.04436039157082,45.174888048386876
86000,43,-411.1891272370478,45.174888048386876
88000,44,-663.3068102986632,45.174888048386876
90000,45,-400.0198928120332,45.174888048386876
92000,46,-442.1943817966908,45.174888048386876
94000,47,-476.92890504910883,45.174888048386876
96000,48,-637.2711569619029,45.174888048386876
98000,49,-639.9585643283092,45.174888048386876
100000,50,-93.17326694046942,45.174888048386876
102000,51,-413.8569609961022,45.174888048386876
104000,52,-201.33509344106378,45.174888048386876
106000,53,-418.9916714745216,45.174888048386876
108000,54,437.2068917259108,437.2068917259108
110000,55,-515.8897859906288,437.2068917259108
112000,56,-469.9140563955616,437.2068917259108
114000,57,-14.308117445054279,437.2068917259108
116000,58,-34.3968537727853,437.2068917259108
118000,59,-739.7201887420462,437.2068917259108
120000,60,-496.670045583247,437.2068917259108
122000,61,-396.34028210559984,437.2068917259108
124000,62,-349.26674341489354,437.2068917259108
126000,63,-555.8930184804046,437.2068917259108
128000,64,-570.8069341410929,437.2068917259108
130000,65,-524.4732791191686,437.2068917259108
132000,66,-360.9394386416422,437.2068917259108
134000,67,-327.6763279480763,437.2068917259108
136000,68,-300.7327270258659,437.2068917259108
138000,69,-181.51906561949602,437.2068917259108
140000,70,431.0327848846996,437.2068917259108
142000,71,419.31412713608484,437.2068917259108
144000,72,-500.64367017913264,437.2068917259108
146000,73,-304.8048019784447,437.2068917259108
148000,74,-383.60137733135696,437.2068917259108
150000,75,-594.5681320977263,437.2068917259108
152000,76,-362.16542138737327,437.2068917259108
154000,77,-431.18261327869135,437.2068917259108
156000,78,-465.64637650537753,437.2068917259108
158000,79,-657.6926547950245,437.2068917259108
160000,80,-334.27716008839434,437.2068917259108
162000,81,-556.6805323810768,437.2068917259108
164000,82,-423.6718072333714,437.2068917259108
166000,83,-381.87123903402056,437.2068917259108
168000,84,-269.4683682289809,437.2068917259108
170000,85,-501.3627362417353,437.2068917259108
172000,86,-473.87228868496237,437.2068917259108
174000,87,-517.5016869900932,437.2068917259108
176000,88,-419.94452756407026,437.2068917259108
178000,89,425.43471422975085,437.2068917259108
180000,90,-442.734601868197,437.2068917259108
182000,91,-470.42785553484,437.2068917259108
184000,92,-278.4014102637055,437.2068917259108
186000,93,175.82671056617693,437.2068917259108
188000,94,-487.0405594028368,437.2068917259108
190000,95,-484.0631270459048,437.2068917259108
192000,96,-558.0332173341268,437.2068917259108
194000,97,-274.3586575725394,437.2068917259108
196000,98,-174.35700049053304,437.2068917259108
198000,99,-663.221046938774,437.2068917259108
200000,100,57.760819738573595,437.2068917259108
202000,101,-329.2790770125475,437.2068917259108
204000,102,40.632837618763034,437.2068917259108
206000,103,381.6705674741499,437.2068917259108
208000,104,-580.3005424479377,437.2068917259108
210000,105,-583.6709430567311,437.2068917259108
212000,106,-112.37452861053383,437.2068917259108
214000,107,-236.32250607841496,437.2068917259108
216000,108,423.45641407503393,437.2068917259108
218000,109,417.01550755280977,437.2068917259108
220000,110,-270.70043448230587,437.2068917259108
222000,111,-461.04265565393786,437.2068917259108
224000,112,-204.69960847174983,437.2068917259108
226000,113,-578.2644677671648,437.2068917259108
228000,114,-246.61864504763633,437.2068917259108
230000,115,-362.29143697628774,437.2068917259108
232000,116,-56.27177780711225,437.2068917259108
234000,117,-146.14358290116022,437.2068917259108
236000,118,-405.50879873755184,437.2068917259108
238000,119,-739.3050526828276,437.2068917259108
240000,120,-423.87033132803055,437.2068917259108
242000,121,-300.0292697391159,437.2068917259108
244000,122,129.98964221105575,437.2068917259108
246000,123,-551.5258795251585,437.2068917259108
248000,124,-371.13873803949394,437.2068917259108
250000,125,-385.30454532354486,437.2068917259108
252000,126,417.6926051372896,437.2068917259108
254000,127,378.6021494803698,437.2068917259108
256000,128,-476.3973367674971,437.2068917259108
258000,129,-622.9541416558676,437.2068917259108
